"No.","Time","Source","Destination","Protocol","Length","Info","capture"
"7941","22.303824","1.2.1","host","USB","28","URB_BULK in","7f"
"7942","22.303842","host","1.2.1","USB","27","URB_BULK in",""
"7943","22.304856","1.2.1","host","USB","28","URB_BULK in","01"
"7944","22.304874","host","1.2.1","USB","27","URB_BULK in",""
"7947","22.305902","1.2.1","host","USB","28","URB_BULK in","00"
"7948","22.305931","host","1.2.1","USB","27","URB_BULK in",""
"7949","22.306948","1.2.1","host","USB","28","URB_BULK in","00"
"7950","22.306982","host","1.2.1","USB","27","URB_BULK in",""
"7951","22.307994","1.2.1","host","USB","28","URB_BULK in","00"
"7952","22.308034","host","1.2.1","USB","27","URB_BULK in",""
"7953","22.309022","1.2.1","host","USB","28","URB_BULK in","14"
"7954","22.309051","host","1.2.1","USB","27","URB_BULK in",""
"7955","22.310057","1.2.1","host","USB","28","URB_BULK in","00"
"7956","22.310086","host","1.2.1","USB","27","URB_BULK in",""
"7957","22.311091","1.2.1","host","USB","28","URB_BULK in","00"
"7958","22.311120","host","1.2.1","USB","27","URB_BULK in",""
"7959","22.312125","1.2.1","host","USB","28","URB_BULK in","00"
"7960","22.312154","host","1.2.1","USB","27","URB_BULK in",""
"7961","22.313174","1.2.1","host","USB","28","URB_BULK in","11"
"7962","22.313202","host","1.2.1","USB","27","URB_BULK in",""
"7963","22.314199","1.2.1","host","USB","28","URB_BULK in","a4"
"7964","22.314227","host","1.2.1","USB","27","URB_BULK in",""
"7965","22.315295","1.2.1","host","USB","28","URB_BULK in","00"
"7966","22.315324","host","1.2.1","USB","27","URB_BULK in",""
"7967","22.316295","1.2.1","host","USB","28","URB_BULK in","00"
"7968","22.316323","host","1.2.1","USB","27","URB_BULK in",""
"7969","22.317310","1.2.1","host","USB","28","URB_BULK in","98"
"7972","22.317388","host","1.2.1","USB","27","URB_BULK in",""
"7973","22.318360","1.2.1","host","USB","28","URB_BULK in","20"
"7974","22.318395","host","1.2.1","USB","27","URB_BULK in",""
"7975","22.319389","1.2.1","host","USB","28","URB_BULK in","00"
"7976","22.319419","host","1.2.1","USB","27","URB_BULK in",""
"7977","22.320428","1.2.1","host","USB","28","URB_BULK in","00"
"7978","22.320457","host","1.2.1","USB","27","URB_BULK in",""
"7979","22.321469","1.2.1","host","USB","28","URB_BULK in","14"
"7980","22.321498","host","1.2.1","USB","27","URB_BULK in",""
"7981","22.322504","1.2.1","host","USB","28","URB_BULK in","00"
"7982","22.322522","host","1.2.1","USB","27","URB_BULK in",""
"7983","22.323554","1.2.1","host","USB","28","URB_BULK in","06"
"7984","22.323588","host","1.2.1","USB","27","URB_BULK in",""
"7985","22.324586","1.2.1","host","USB","28","URB_BULK in","12"
"7986","22.324615","host","1.2.1","USB","27","URB_BULK in",""
"7989","22.325625","1.2.1","host","USB","28","URB_BULK in","01"
"7990","22.325655","host","1.2.1","USB","27","URB_BULK in",""
"7991","22.326408","host","1.2.0","USB","36","URB_CONTROL in",""
"7992","22.326455","host","1.2.0","USB","36","URB_CONTROL in",""
"7993","22.326663","1.2.1","host","USB","28","URB_BULK in","08"
"7994","22.326689","host","1.2.1","USB","27","URB_BULK in",""
"7995","22.327691","1.2.1","host","USB","28","URB_BULK in","48"
"7996","22.327722","host","1.2.1","USB","27","URB_BULK in",""
"7997","22.328306","1.2.0","host","USB","47","URB_CONTROL in",""
"7998","22.328732","1.2.1","host","USB","28","URB_BULK in","03"
"7999","22.328761","host","1.2.1","USB","27","URB_BULK in",""
"8000","22.329767","1.2.1","host","USB","28","URB_BULK in","08"
"8001","22.329794","host","1.2.1","USB","27","URB_BULK in",""
"8002","22.330806","1.2.1","host","USB","28","URB_BULK in","00"
"8003","22.330825","host","1.2.1","USB","27","URB_BULK in",""
"8004","22.331309","1.2.0","host","USB","47","URB_CONTROL in",""
"8007","22.331838","1.2.1","host","USB","28","URB_BULK in","00"
"8008","22.331860","host","1.2.1","USB","27","URB_BULK in",""
"8009","22.332885","1.2.1","host","USB","28","URB_BULK in","00"
"8010","22.332914","host","1.2.1","USB","27","URB_BULK in",""
"8011","22.333924","1.2.1","host","USB","28","URB_BULK in","d6"
"8012","22.333953","host","1.2.1","USB","27","URB_BULK in",""
"8013","22.334961","1.2.1","host","USB","28","URB_BULK in","1d"
"8014","22.334979","host","1.2.1","USB","27","URB_BULK in",""
"8021","22.385358","host","1.2.0","USB","36","URB_CONTROL in",""
"8022","22.385391","host","1.2.0","USB","36","URB_CONTROL in",""
"8023","22.387309","1.2.0","host","USB","29","URB_CONTROL in",""
"8024","22.387399","host","1.2.0","USB","36","URB_CONTROL out",""
"8025","22.390307","1.2.0","host","USB","47","URB_CONTROL in",""
"8028","22.392317","1.2.0","host","USB","28","URB_CONTROL out",""
"8029","22.392419","host","1.2.1","USB","39","URB_BULK out","7bff200010002e01000025ff"
"8030","22.392487","1.2.1","host","USB","27","URB_BULK out",""
"8031","22.392541","host","1.2.1","USB","41","URB_BULK out","02080e0005000000023200000000"
"8032","22.392601","1.2.1","host","USB","27","URB_BULK out",""
"8033","22.392648","host","1.2.1","USB","29","URB_BULK out","e8c5"
"8034","22.392689","1.2.1","host","USB","27","URB_BULK out",""
"8037","22.401408","host","1.2.0","USB","36","URB_CONTROL in",""
"8038","22.403328","1.2.0","host","USB","47","URB_CONTROL in",""
"8043","22.433491","host","1.2.0","USB","36","URB_CONTROL in",""
"8044","22.435342","1.2.0","host","USB","47","URB_CONTROL in",""
"8045","22.464540","1.2.1","host","USB","28","URB_BULK in","7a"
"8046","22.464591","host","1.2.1","USB","27","URB_BULK in",""
"8047","22.465561","1.2.1","host","USB","28","URB_BULK in","ff"
"8048","22.465610","host","1.2.1","USB","27","URB_BULK in",""
"8049","22.466593","1.2.1","host","USB","28","URB_BULK in","20"
"8050","22.466633","host","1.2.1","USB","27","URB_BULK in",""
"8051","22.467639","1.2.1","host","USB","28","URB_BULK in","80"
"8052","22.467675","host","1.2.1","USB","27","URB_BULK in",""
"8053","22.468677","1.2.1","host","USB","28","URB_BULK in","06"
"8054","22.468714","host","1.2.1","USB","27","URB_BULK in",""
"8055","22.469713","1.2.1","host","USB","28","URB_BULK in","00"
"8056","22.469752","host","1.2.1","USB","27","URB_BULK in",""
"8057","22.470755","1.2.1","host","USB","28","URB_BULK in","2e"
"8058","22.470793","host","1.2.1","USB","27","URB_BULK in",""
"8059","22.471563","host","1.2.0","USB","36","URB_CONTROL in",""
"8060","22.471608","host","1.2.0","USB","36","URB_CONTROL in",""
"8061","22.471625","host","1.2.0","USB","36","URB_CONTROL in",""
"8062","22.471788","1.2.1","host","USB","28","URB_BULK in","01"
"8063","22.471801","host","1.2.1","USB","27","URB_BULK in",""
"8064","22.472828","1.2.1","host","USB","28","URB_BULK in","00"
"8065","22.472866","host","1.2.1","USB","27","URB_BULK in",""
"8066","22.473321","1.2.0","host","USB","47","URB_CONTROL in",""
"8067","22.473863","1.2.1","host","USB","28","URB_BULK in","00"
"8068","22.473899","host","1.2.1","USB","27","URB_BULK in",""
"8069","22.474907","1.2.1","host","USB","28","URB_BULK in","30"
"8070","22.474944","host","1.2.1","USB","27","URB_BULK in",""
"8071","22.475934","1.2.1","host","USB","28","URB_BULK in","7f"
"8072","22.475969","host","1.2.1","USB","27","URB_BULK in",""
"8073","22.476316","1.2.0","host","USB","47","URB_CONTROL in",""
"8074","22.476965","1.2.1","host","USB","28","URB_BULK in","02"
"8075","22.476996","host","1.2.1","USB","27","URB_BULK in",""
"8076","22.478004","1.2.1","host","USB","28","URB_BULK in","08"
"8077","22.478035","host","1.2.1","USB","27","URB_BULK in",""
"8078","22.479043","1.2.1","host","USB","28","URB_BULK in","00"
"8079","22.479073","host","1.2.1","USB","27","URB_BULK in",""
"8080","22.479307","1.2.0","host","USB","47","URB_CONTROL in",""
"8081","22.480076","1.2.1","host","USB","28","URB_BULK in","00"
"8082","22.480098","host","1.2.1","USB","27","URB_BULK in",""
"8083","22.481124","1.2.1","host","USB","28","URB_BULK in","fd"
"8084","22.481153","host","1.2.1","USB","27","URB_BULK in",""
"8085","22.481556","host","1.2.0","USB","36","URB_CONTROL in",""
"8086","22.481603","host","1.2.0","USB","36","URB_CONTROL in",""
"8087","22.482162","1.2.1","host","USB","28","URB_BULK in","f7"
"8088","22.482192","host","1.2.1","USB","27","URB_BULK in",""
"8089","22.483312","1.2.0","host","USB","29","URB_CONTROL in",""
"8090","22.483626","host","1.2.0","USB","36","URB_CONTROL out",""
"8091","22.486311","1.2.0","host","USB","47","URB_CONTROL in",""
"8092","22.488311","1.2.0","host","USB","28","URB_CONTROL out",""
"8093","22.488378","host","1.2.1","USB","39","URB_BULK out","7bff200010002f01000024ff"
"8094","22.488439","1.2.1","host","USB","27","URB_BULK out",""
"8095","22.488481","host","1.2.1","USB","41","URB_BULK out","02080e0005000000023200000000"
"8096","22.488527","1.2.1","host","USB","27","URB_BULK out",""
"8097","22.488565","host","1.2.1","USB","29","URB_BULK out","e8c5"
"8098","22.488600","1.2.1","host","USB","27","URB_BULK out",""
"8101","22.497563","host","1.2.0","USB","36","URB_CONTROL in",""
"8102","22.499318","1.2.0","host","USB","47","URB_CONTROL in",""
"8103","22.529572","host","1.2.0","USB","36","URB_CONTROL in",""
"8104","22.531318","1.2.0","host","USB","47","URB_CONTROL in",""
"8105","22.560454","1.2.1","host","USB","28","URB_BULK in","7a"
"8106","22.560481","host","1.2.1","USB","27","URB_BULK in",""
"8107","22.561474","1.2.1","host","USB","28","URB_BULK in","ff"
"8108","22.561483","host","1.2.1","USB","27","URB_BULK in",""
"8109","22.562516","1.2.1","host","USB","28","URB_BULK in","20"
"8110","22.562525","host","1.2.1","USB","27","URB_BULK in",""
"8111","22.563559","1.2.1","host","USB","28","URB_BULK in","80"
"8112","22.563587","host","1.2.1","USB","27","URB_BULK in",""
"8113","22.564587","1.2.1","host","USB","28","URB_BULK in","06"
"8114","22.564596","host","1.2.1","USB","27","URB_BULK in",""
"8115","22.565634","1.2.1","host","USB","28","URB_BULK in","00"
"8116","22.565644","host","1.2.1","USB","27","URB_BULK in",""
"8117","22.566680","1.2.1","host","USB","28","URB_BULK in","2f"
"8118","22.566703","host","1.2.1","USB","27","URB_BULK in",""
"8119","22.567708","1.2.1","host","USB","28","URB_BULK in","01"
"8120","22.567738","host","1.2.1","USB","27","URB_BULK in",""
"8121","22.568740","1.2.1","host","USB","28","URB_BULK in","00"
"8122","22.568751","host","1.2.1","USB","27","URB_BULK in",""
"8123","22.569774","1.2.1","host","USB","28","URB_BULK in","00"
"8124","22.569779","host","1.2.1","USB","27","URB_BULK in",""
"8125","22.570813","1.2.1","host","USB","28","URB_BULK in","2f"
"8126","22.570826","host","1.2.1","USB","27","URB_BULK in",""
"8127","22.571857","1.2.1","host","USB","28","URB_BULK in","7f"
"8128","22.571865","host","1.2.1","USB","27","URB_BULK in",""
"8129","22.572889","1.2.1","host","USB","28","URB_BULK in","02"
"8130","22.572901","host","1.2.1","USB","27","URB_BULK in",""
"8131","22.573933","1.2.1","host","USB","28","URB_BULK in","08"
"8132","22.573944","host","1.2.1","USB","27","URB_BULK in",""
"8133","22.574569","host","1.2.0","USB","36","URB_CONTROL in",""
"8134","22.574599","host","1.2.0","USB","36","URB_CONTROL in",""
"8135","22.574616","host","1.2.0","USB","36","URB_CONTROL in",""
"8136","22.574627","host","1.2.0","USB","36","URB_CONTROL in",""
